Country Name,CountryID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Dominican Republic,60,6499.853498,6706.14489,7006.286074,6943.330205,7208.898739,8023.782318,8900.154654,9677.257368,10044.09956,10078.87014,10907.35641,11333.54709,11706.6926,12322.38621,13339.7627,14264.83549,15227.94202,16029.62371
Algeria,12,8093.530893,8416.752682,8911.68068,9621.160947,10176.67563,10971.84687,11332.7899,11843.71921,12162.26435,12242.17814,12610.24805,12990.34502,13404.41178,13715.74358,14203.8954,14614.97043,15013.29638,15275.37422
East Asia & Pacific (excluding high income),,3289.053495,3548.970453,3845.223654,4220.20851,4677.281309,5241.443522,5920.633028,6744.129116,7387.854111,7938.705245,8744.620905,9592.577194,10420.49531,11257.59359,12133.15349,12958.52798,13845.23347,14904.79815
Early-demographic dividend,,4022.17412,4114.613002,4187.87323,4412.63488,4756.626987,5153.502202,5593.945668,6041.041323,6333.423435,6443.551925,6880.892994,7301.149809,7644.566289,8002.338017,8414.254956,8762.816615,9190.767372,9701.624031
East Asia & Pacific,,5710.268109,6012.303367,6380.519728,6800.235157,7382.934228,8037.643444,8827.829497,9759.378233,10388.12899,10789.32991,11721.84539,12610.42886,13479.35807,14402.56646,15259.96864,16114.48315,17038.88856,18155.58293
Europe & Central Asia (excluding high income),,6074.517793,6439.231886,6892.337952,7619.936348,8535.451544,9586.585219,11474.10982,12800.1902,14705.54678,14209.85087,15196.63939,17266.78239,18183.37281,18896.87903,19365.29897,19184.3161,19489.07887,20607.09903
Europe & Central Asia,,15848.96481,16646.00906,17438.8046,18098.66435,19221.45876,20261.96758,22419.59104,24020.03106,25666.88081,24949.49248,26010.07248,27766.59967,28490.11918,29491.77531,30248.24541,30654.8667,31378.69748,32780.14382
Ecuador,61,5855.634754,6120.930896,6360.968733,6555.372742,7169.972305,7664.289273,8110.485561,8366.145444,8920.500827,8889.213526,9163.159136,9926.903441,10512.31875,11037.34677,11483.9968,11446.36514,11242.04752,11617.42885
"Egypt, Arab Rep.",,5856.221721,6086.419738,6207.541692,6410.523732,6728.861316,7124.489862,7708.047561,8327.410813,8939.282135,9255.383927,9658.065215,9823.823287,10003.35422,10156.41485,10407.78167,10750.4563,11134.02672,11582.594
Euro area,,25317.12636,26513.81797,27539.11425,27954.7664,29071.83338,30106.4643,32521.90089,34411.14934,35746.99604,34844.25396,35842.43756,37434.34967,37810.26639,38991.82905,39921.56644,40864.7359,42080.96377,43784.14337
Eritrea,65,1330.93985,1436.292218,1453.333656,1395.231872,1409.043034,1450.333417,1444.85803,1473.074941,1329.644373,1366.590931,1387.714663,1510.458929,,,,,,
