Overall Rank,Country,Country ID,Time ID,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Trust,Residual
69,Hungary,86,19,5.62,1.171,1.401,0.732,0.259,0.061,0.022,1.974
70,Libya,107,19,5.566,0.985,1.35,0.553,0.496,0.116,0.148,1.918
71,Philippines,144,19,5.524,0.775,1.312,0.513,0.643,0.12,0.105,2.056
72,Honduras,85,19,5.504,0.62,1.205,0.622,0.459,0.197,0.074,2.327
73,Belarus,25,19,5.483,1.039,1.498,0.7,0.307,0.101,0.154,1.684
74,Turkey,184,19,5.483,1.148,1.38,0.686,0.324,0.106,0.109,1.73
75,Pakistan,139,19,5.472,0.652,0.81,0.424,0.334,0.216,0.113,2.923
77,Portugal,146,19,5.41,1.188,1.429,0.884,0.562,0.055,0.017,1.275
78,Serbia,160,19,5.398,0.975,1.369,0.685,0.288,0.134,0.043,1.904
79,Greece,77,19,5.358,1.154,1.202,0.879,0.131,0,0.044,1.948
80,Tajikistan,178,19,5.358,0.474,1.179,0.598,0.503,0.214,0.136,2.254
81,Montenegro,125,19,5.347,1.017,1.279,0.729,0.259,0.111,0.081,1.871
82,Croatia,52,19,5.321,1.115,1.161,0.737,0.38,0.12,0.039,1.769
83,Dominican Republic,60,19,5.302,0.982,1.441,0.614,0.578,0.12,0.106,1.461
84,Algeria,12,19,5.295,0.979,1.154,0.687,0.077,0.055,0.135,2.208
85,Morocco,127,19,5.254,0.779,0.797,0.669,0.46,0.026,0.074,2.449
86,China,47,19,5.246,0.989,1.142,0.799,0.597,0.029,0.103,1.587
87,Azerbaijan,20,19,5.201,1.024,1.161,0.603,0.43,0.031,0.176,1.776
88,Lebanon,104,19,5.199,0.965,1.166,0.785,0.292,0.187,0.034,1.77
89,Republic of Macedonia,111,19,5.185,0.959,1.239,0.691,0.394,0.173,0.052,1.677
90,Jordan,96,19,5.161,0.822,1.265,0.645,0.468,0.13,0.134,1.697
91,Nigeria,134,19,5.155,0.689,1.172,0.048,0.462,0.201,0.032,2.551
92,Kyrgyz Republic (Kyrgyzstan),101,19,5.131,0.53,1.416,0.594,0.54,0.281,0.035,1.735
93,Bosnia & Herzegovina,32,19,5.129,0.915,1.078,0.758,0.28,0.216,0,1.882
94,Mongolia,124,19,5.125,0.914,1.517,0.575,0.395,0.253,0.032,1.439
95,Vietnam,193,19,5.103,0.715,1.365,0.702,0.618,0.177,0.079,1.447
96,Indonesia,9,19,5.093,0.899,1.215,0.522,0.538,0.484,0.018,1.417
97,Bhutan,30,19,5.082,0.796,1.335,0.527,0.541,0.364,0.171,1.348
98,Somalia,166,19,4.982,0,0.712,0.115,0.674,0.238,0.282,2.961
99,Cameroon,41,19,4.975,0.535,0.891,0.182,0.454,0.183,0.043,2.687
100,Bulgaria,36,19,4.933,1.054,1.515,0.712,0.359,0.064,0.009,1.22
101,Nepal,130,19,4.88,0.425,1.228,0.539,0.526,0.302,0.078,1.782
102,Venezuela,192,19,4.806,0.996,1.469,0.657,0.133,0.056,0.052,1.443
103,Gabon,72,19,4.758,1.036,1.164,0.404,0.356,0.032,0.052,1.714
105,South Africa,167,19,4.724,0.94,1.41,0.33,0.516,0.103,0.056,1.369
106,Iran,89,19,4.707,1.059,0.771,0.691,0.459,0.282,0.129,1.316
107,Ivory Coast (Cote d Ivoire),93,19,4.671,0.541,0.872,0.08,0.467,0.146,0.103,2.462
108,Ghana,76,19,4.657,0.592,0.896,0.337,0.499,0.212,0.029,2.092
109,Senegal,159,19,4.631,0.429,1.117,0.433,0.406,0.138,0.082,2.026
110,Laos,102,19,4.623,0.72,1.034,0.441,0.626,0.23,0.174,1.398
111,Tunisia,183,19,4.592,0.9,0.906,0.69,0.271,0.04,0.063,1.722
112,Albania,11,19,4.586,0.916,0.817,0.79,0.419,0.149,0.032,1.463
113,Sierra Leone,162,19,4.571,0.256,0.813,0,0.355,0.238,0.053,2.856
114,Congo,50,19,4.559,0.682,0.811,0.343,0.514,0.091,0.077,2.041
115,Bangladesh,23,19,4.5,0.532,0.85,0.579,0.58,0.153,0.144,1.662
116,Sri Lanka,171,19,4.471,0.918,1.314,0.672,0.585,0.307,0.05,0.625
117,Iraq,90,19,4.456,1.01,0.971,0.536,0.304,0.148,0.095,1.392
118,Mali,115,19,4.447,0.37,1.233,0.152,0.367,0.139,0.056,2.13
119,Namibia,129,19,4.441,0.874,1.281,0.365,0.519,0.051,0.064,1.287
120,Cambodia,40,19,4.433,0.549,1.088,0.457,0.696,0.256,0.065,1.322
121,Burkina Faso,37,19,4.424,0.314,1.097,0.254,0.312,0.175,0.128,2.144
122,Egypt,62,19,4.419,0.885,1.025,0.553,0.312,0.092,0.107,1.445
123,Mozambique,128,19,4.417,0.198,0.902,0.173,0.531,0.206,0.158,2.249
124,Kenya,98,19,4.41,0.493,1.048,0.454,0.504,0.352,0.055,1.504
125,Zambia,197,19,4.377,0.562,1.047,0.295,0.503,0.221,0.082,1.667
126,Mauritania,118,19,4.356,0.557,1.245,0.292,0.129,0.134,0.093,1.906
127,Ethiopia,67,19,4.35,0.308,0.95,0.391,0.452,0.22,0.146,1.883
128,Georgia,74,19,4.34,0.853,0.592,0.643,0.375,0.038,0.215,1.624
129,Armenia,18,19,4.321,0.816,0.99,0.666,0.26,0.077,0.028,1.484
130,Myanmar/Burma,38,19,4.308,0.682,1.174,0.429,0.58,0.598,0.178,0.667
131,Chad,45,19,4.301,0.358,0.907,0.053,0.189,0.181,0.06,2.553
132,Democratic Republic of the Congo,56,19,4.245,0.069,1.136,0.204,0.312,0.197,0.052,2.275
133,India,88,19,4.19,0.721,0.747,0.485,0.539,0.172,0.093,1.433
134,Niger,133,19,4.166,0.131,0.867,0.221,0.39,0.175,0.099,2.283
135,Uganda,187,19,4.161,0.322,1.09,0.237,0.45,0.259,0.061,1.742
136,Benin,28,19,4.141,0.378,0.372,0.24,0.44,0.163,0.067,2.481
137,Sudan,172,19,4.139,0.605,1.24,0.312,0.016,0.134,0.082,1.75
138,Ukraine,188,19,4.103,0.793,1.413,0.609,0.163,0.187,0.011,0.927
139,Togo,181,19,3.999,0.259,0.474,0.253,0.434,0.158,0.101,2.32
140,Guinea,81,19,3.964,0.344,0.792,0.211,0.394,0.185,0.094,1.944
141,Lesotho,105,19,3.808,0.472,1.215,0.079,0.423,0.116,0.112,1.391
142,Angola,14,19,3.795,0.73,1.125,0.269,0,0.079,0.061,1.531
143,Madagascar,112,19,3.774,0.262,0.908,0.402,0.221,0.155,0.049,1.777
144,Zimbabwe,198,19,3.692,0.357,1.094,0.248,0.406,0.132,0.099,1.356
145,Afghanistan,10,19,3.632,0.332,0.537,0.255,0.085,0.191,0.036,2.196
146,Botswana,33,19,3.59,1.017,1.174,0.417,0.557,0.042,0.092,0.291
147,Malawi,113,19,3.587,0.186,0.541,0.306,0.531,0.21,0.08,1.733
148,Haiti,84,19,3.582,0.315,0.714,0.289,0.025,0.392,0.104,1.743
149,Liberia,106,19,3.495,0.076,0.858,0.267,0.419,0.206,0.03,1.639
150,Syria,177,19,3.462,0.689,0.382,0.539,0.088,0.376,0.144,1.244
151,Rwanda,152,19,3.408,0.332,0.896,0.4,0.636,0.2,0.444,0.5
152,Yemen,196,19,3.355,0.442,1.073,0.343,0.244,0.083,0.064,1.106
153,Tanzania,179,19,3.303,0.455,0.991,0.381,0.481,0.27,0.097,0.628
154,South Sudan,169,19,3.254,0.337,0.608,0.177,0.112,0.224,0.106,1.69
155,Central African Republic,44,19,3.083,0.024,0,0.01,0.305,0.218,0.038,2.488
156,Burundi,39,19,2.905,0.091,0.627,0.145,0.065,0.149,0.076,1.752
