Overall Rank,Country,Country ID,Time ID,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Trust,Residual
72,Estonia,66,16,5.517,1.279636979,1.051626802,0.680980504,0.415114403,0.084225267,0.185190409,1.820225636
73,Jamaica,94,16,5.51,0.893330693,0.963718593,0.5946877,0.435969591,0.222449809,0.042939641,2.356903973
74,Croatia,52,16,5.488,1.186485887,0.608087182,0.705240667,0.239070639,0.184344918,0.040024605,2.524746102
76,Somalia,166,16,5.44,0,0.336134076,0.114662275,0.567781329,0.272246689,0.311798036,3.837377595
77,Kosovo,99,16,5.401,0.901451945,0.660622716,0.540003181,0.143963769,0.279919446,0.065471202,2.809567741
78,Turkey,184,16,5.389,1.164921641,0.87717098,0.647183418,0.238888025,0.0470687,0.123479202,2.290288034
79,Indonesia,9,16,5.314,0.951040626,0.87625128,0.493741304,0.392365605,0.565213919,0.003222997,2.032164269
80,Jordan,96,16,5.303,0.996726453,0.862160564,0.607119262,0.360229939,0.142622128,0.132970601,2.201171053
81,Azerbaijan,20,16,5.291,1.123732328,0.76042366,0.545036376,0.353265971,0.056396302,0.179136723,2.27300864
82,Philippines,144,16,5.279,0.812171459,0.87877202,0.470356584,0.548538148,0.216740772,0.117567897,2.23485312
83,China,47,16,5.245,1.027797103,0.793808103,0.735614955,0.440123588,0.049588207,0.027451765,2.170616279
84,Bhutan,30,16,5.196,0.85269922,0.908361614,0.497591704,0.460738599,0.485455036,0.161598593,1.829555234
85,Kyrgyz Republic (Kyrgyzstan),101,16,5.185,0.560443997,0.954338312,0.554490626,0.402119219,0.384315312,0.047621343,2.281671191
86,Serbia,160,16,5.177,1.034370899,0.813292861,0.645801246,0.157181978,0.20736517,0.043391395,2.275596451
87,Bosnia & Herzegovina,32,16,5.163,0.93382591,0.643669307,0.707662225,0.095113359,0.298890561,0,2.483838638
88,Montenegro,125,16,5.161,1.078377247,0.741729081,0.63532579,0.151106626,0.171912715,0.12721251,2.255336031
89,Dominican Republic,60,16,5.155,1.027870894,0.994959295,0.576689005,0.522585511,0.212857142,0.12371701,1.696321143
90,Morocco,127,16,5.151,0.840575635,0.385954619,0.594714701,0.256462544,0.040528033,0.084042557,2.948721911
91,Hungary,86,16,5.145,1.241419196,0.9316383,0.676083803,0.197703317,0.098998934,0.044721223,1.954435227
92,Pakistan,139,16,5.132,0.688163638,0.261352569,0.403063834,0.146219745,0.311846018,0.138804361,3.182549835
93,Lebanon,104,16,5.129,1.122678638,0.641836703,0.761709571,0.262280792,0.236933082,0.030606575,2.072954639
94,Portugal,146,16,5.123,1.27607441,0.943668902,0.793625772,0.447265118,0.116906412,0.015205773,1.530253613
95,Republic of Macedonia,111,16,5.121,1.019297957,0.782356858,0.64737922,0.276682049,0.235072523,0.070470847,2.089740546
96,Vietnam,193,16,5.061,0.740374327,0.79116708,0.661565065,0.559541166,0.250752568,0.115562074,1.94203772
98,Tunisia,183,16,5.045,0.977238596,0.431648046,0.595766008,0.235527888,0.039361522,0.081698492,2.683759448
99,Greece,77,16,5.033,1.248862028,0.754731655,0.800289333,0.058221195,0,0.041272469,2.12962332
100,Tajikistan,178,16,4.996,0.488349199,0.756024659,0.531185448,0.434081018,0.259979695,0.135088936,2.391291045
101,Mongolia,124,16,4.907,0.988527238,1.089830875,0.554693222,0.35971877,0.345385552,0.032850172,1.535994171
102,Laos,102,16,4.876,0.680423439,0.549695015,0.382905632,0.521675408,0.43078813,0.224229053,2.086283323
103,Nigeria,134,16,4.875,0.752163231,0.644979417,0.05107902,0.278538823,0.232186616,0.030501828,2.885551065
104,Honduras,85,16,4.871,0.694292605,0.755958438,0.583828628,0.267550528,0.204403043,0.069061995,2.295904763
105,Iran,89,16,4.813,1.11757791,0.38857168,0.642323375,0.225437149,0.385382474,0.055696428,1.998010984
106,Zambia,197,16,4.795,0.612021744,0.637601912,0.235732168,0.42661646,0.17865707,0.114790618,2.589580028
107,Nepal,130,16,4.793,0.446257055,0.696985006,0.500729203,0.370115995,0.381596237,0.070081405,2.327235099
109,Albania,11,16,4.655,0.955302894,0.501627386,0.730069757,0.318660259,0.168395013,0.053009737,1.927934954
110,Bangladesh,23,16,4.643,0.541766882,0.247490913,0.529888511,0.397775203,0.191324383,0.12583366,2.608920448
111,Sierra Leone,162,16,4.635,0.364854157,0.628003418,0,0.306851208,0.238972127,0.081962265,3.014356825
112,Iraq,90,16,4.575,1.07474339,0.592047036,0.510759652,0.248559147,0.195888206,0.136355549,1.81664702
113,Namibia,129,16,4.574,0.932872117,0.703617692,0.34745428,0.486137927,0.077949628,0.103975952,1.921992404
114,Cameroon,41,16,4.513,0.524972677,0.62541908,0.126975924,0.427361518,0.226795286,0.061263487,2.520212028
115,Ethiopia,67,16,4.508,0.292833269,0.37931633,0.34577632,0.367029131,0.295218557,0.171699375,2.656127018
116,South Africa,167,16,4.459,1.024164915,0.960533559,0.18610996,0.424825251,0.136563376,0.084154382,1.642648557
117,Sri Lanka,171,16,4.415,0.973177612,0.847829461,0.620068312,0.508171797,0.469782919,0.079638049,0.91633185
118,India,88,16,4.404,0.740358532,0.292474449,0.450911433,0.402845562,0.250284731,0.087221779,2.179903514
119,Myanmar/Burma,38,16,4.395,0.341123313,0.699811459,0.398799539,0.426919222,0.819711149,0.202434525,1.506200793
120,Egypt,62,16,4.362,0.953951299,0.498131216,0.521161914,0.188465044,0.12706089,0.103929445,1.969300192
121,Armenia,18,16,4.36,0.860859156,0.624768198,0.640833914,0.14037241,0.077928573,0.036157168,1.979080581
122,Kenya,98,16,4.356,0.522671163,0.762397349,0.301471651,0.405755043,0.413277924,0.066859067,1.883567803
123,Ukraine,188,16,4.324,0.872869015,1.014131546,0.586279273,0.12858887,0.203627124,0.018293051,1.500211121
124,Ghana,76,16,4.276,0.631068647,0.493525058,0.296813399,0.409732223,0.212032646,0.032602906,2.200225121
125,Congo,50,16,4.272,0.056606013,0.806764662,0.188003928,0.15601705,0.254578084,0.060748998,2.749281265
126,Georgia,74,16,4.252,0.8379246,0.192494437,0.64034605,0.324610114,0.067858882,0.31879583,1.869970087
127,Democratic Republic of the Congo,56,16,4.236,0.771092892,0.477987349,0.282115191,0.379376739,0.120770879,0.09752927,2.10712768
128,Senegal,159,16,4.219,0.44313702,0.77415967,0.404569447,0.310557932,0.19103384,0.116809212,1.978732879
129,Bulgaria,36,16,4.217,1.113064647,0.925417423,0.67805624,0.212191105,0.127929702,0.00615381,1.154187073
130,Mauritania,118,16,4.201,0.613908052,0.841419697,0.286394596,0.126799494,0.226863608,0.179548815,1.926065738
131,Zimbabwe,198,16,4.193,0.350409836,0.714784801,0.159500897,0.254289746,0.185030311,0.085816585,2.443167824
132,Malawi,113,16,4.156,0.087093957,0.147002205,0.293644875,0.414301723,0.309678584,0.075636759,2.828641897
133,Sudan,172,16,4.139,0.630690754,0.819282651,0.29759115,0,0.18077454,0.100387059,2.110273846
134,Gabon,72,16,4.121,1.158508897,0.723678649,0.349404246,0.280975461,0.062437054,0.093141817,1.452853876
135,Mali,115,16,4.073,0.312924177,0.863327265,0.163471952,0.275439262,0.210641325,0.13646628,2.110729739
136,Haiti,84,16,4.028,0.340972722,0.295613825,0.274940819,0.120723948,0.479578078,0.144757867,2.371412741
137,Botswana,33,16,3.974,1.094257355,0.891864955,0.347515285,0.440892041,0.124251723,0.10769476,0.967523881
138,Comoros,49,16,3.956,0.275094003,0.603230715,0.299808353,0.154117793,0.182702527,0.184365198,2.256681411
139,Ivory Coast (Cote d Ivoire),93,16,3.916,0.55506587,0.575758815,0.044759069,0.406628996,0.203382105,0.155298561,1.975106584
140,Cambodia,40,16,3.907,0.556039333,0.537498176,0.424944222,0.588519156,0.403388411,0.080922894,1.315687808
141,Angola,14,16,3.866,0.847309828,0.663659394,0.049912684,0.005886351,0.120707437,0.084338747,2.094185559
142,Niger,133,16,3.856,0.1327025,0.605297446,0.261615485,0.3804079,0.209700525,0.171763912,2.094512232
143,South Sudan,169,16,3.832,0.393936366,0.185187027,0.157813624,0.196624979,0.258987993,0.13015157,2.509298441
144,Chad,45,16,3.763,0.422141939,0.631775618,0.038235091,0.128071576,0.186667085,0.049524732,2.306583959
145,Burkina Faso,37,16,3.739,0.319952011,0.630537152,0.212966383,0.333697379,0.243525133,0.125326842,1.8729951
146,Uganda,187,16,3.739,0.347185254,0.909812272,0.196249619,0.436530262,0.271018267,0.064420924,1.513783402
147,Yemen,196,16,3.724,0.57938844,0.474931449,0.310475528,0.22869572,0.098209225,0.058922391,1.973377247
148,Madagascar,112,16,3.695,0.279543608,0.46115467,0.371090263,0.136837781,0.220397666,0.075058505,2.150917507
149,Tanzania,179,16,3.666,0.471546322,0.776233137,0.356999546,0.31760186,0.314717621,0.050989658,1.377911856
150,Liberia,106,16,3.622,0.107063256,0.503526747,0.231654659,0.257483155,0.240629301,0.048521545,2.233121337
151,Guinea,81,16,3.607,0.224151656,0.310899139,0.188288182,0.309527636,0.299137384,0.119202852,2.155793151
152,Rwanda,152,16,3.515,0.328461111,0.615862489,0.318650216,0.543197215,0.235517174,0.505208671,0.968103124
153,Benin,28,16,3.484,0.394992262,0.104188949,0.210283667,0.397465468,0.201800823,0.066805065,2.108463766
154,Afghanistan,10,16,3.36,0.382265657,0.110368498,0.173436046,0.164304629,0.312679827,0.071116321,2.145829022
155,Togo,181,16,3.303,0.281226516,0,0.248112172,0.346780658,0.175168142,0.115871899,2.135840613
156,Syria,177,16,3.069,0.74718523,0.148658514,0.62993592,0.069124863,0.483968765,0.172329709,0.817796999
157,Burundi,39,16,2.905,0.068309732,0.234424442,0.157467261,0.04320135,0.202902168,0.094187506,2.104507541
