HDI Rank (2015),Country,Country ID,1990,1995,2000,2005,2010,2011,2012,2013,2014,2015
121, Iraq,90,0.706,0.58,0.72,0.708,0.73,0.737,0.751,0.753,0.72,0.718
8, Ireland,#N/A,0.797,0.825,0.882,0.907,0.897,0.896,0.897,0.903,0.912,0.919
19, Israel,91,0.779,0.804,0.826,0.839,0.856,0.862,0.862,0.865,0.867,0.868
26, Italy,92,0.863,0.873,0.889,0.894,0.888,0.888,0.884,0.879,0.878,0.879
94, Jamaica,94,0.655,0.668,0.662,0.666,0.663,0.666,0.668,0.667,0.667,0.668
17, Japan,95,0.86,0.869,0.874,0.884,0.886,0.887,0.89,0.893,0.893,0.894
86, Jordan,96,0.625,0.642,0.659,0.69,0.701,0.699,0.697,0.697,0.698,0.697
56, Kazakhstan,97,0.744,0.676,0.694,0.762,0.788,0.793,0.8,0.812,0.816,0.815
146, Kenya,98,0.473,0.462,0.463,0.471,0.488,0.494,0.496,0.5,0.503,0.508
137, Kiribati,#N/A,0.522,0.467,0.487,0.471,0.49,0.477,0.493,0.51,0.483,0.485
18, Korea (Republic of),168,0.724,0.773,0.805,0.836,0.864,0.869,0.872,0.876,0.879,0.883
51, Kuwait,100,0.952,1,1,1,1,1,1,1,1,1
120, Kyrgyzstan,101,0.533,0.422,0.447,0.471,0.492,0.493,0.502,0.513,0.517,0.519
138, Lao People's Democratic Republic,102,0.42,0.445,0.47,0.508,0.546,0.555,0.565,0.575,0.585,0.592
44, Latvia,103,0.763,0.666,0.71,0.776,0.786,0.796,0.803,0.81,0.815,0.819
76, Lebanon,104,0.677,0.732,0.73,0.725,0.767,0.764,0.757,0.746,0.742,0.739
160, Lesotho,105,0.475,0.461,0.46,0.482,0.493,0.506,0.506,0.522,0.525,0.529
177, Liberia,106,0.278,0.087,0.283,0.246,0.276,0.288,0.287,0.294,0.292,0.29
102, Libya,107,0.821,0.816,0.812,0.839,0.857,0.711,0.813,0.795,0.76,0.75
15, Liechtenstein,108,0.972,0.995,1,1,1,1,0.986,1,1,1
37, Lithuania,109,0.763,0.683,0.721,0.784,0.803,0.813,0.821,0.829,0.836,0.84
20, Luxembourg,110,0.937,0.952,0.978,0.999,0.984,0.975,0.97,0.964,0.969,0.972
158, Madagascar,112,0.419,0.392,0.401,0.396,0.396,0.393,0.391,0.39,0.391,0.39
170, Malawi,113,0.406,0.394,0.409,0.323,0.354,0.357,0.354,0.356,0.36,0.359
59, Malaysia,8,0.696,0.745,0.756,0.782,0.804,0.81,0.814,0.819,0.826,0.832
105, Maldives,114,0.527,0.565,0.611,0.641,0.683,0.691,0.692,0.696,0.702,0.701
175, Mali,115,0.33,0.333,0.35,0.379,0.429,0.436,0.447,0.454,0.462,0.468
33, Malta,116,0.764,0.798,0.831,0.829,0.843,0.844,0.845,0.848,0.851,0.859
0, Marshall Islands,#N/A,0.545,0.573,0.544,0.56,0.567,0.567,0.571,0.574,0.572,0.572
157, Mauritania,118,0.511,0.513,0.508,0.518,0.528,0.528,0.532,0.537,0.54,0.538
64, Mauritius,119,0.651,0.677,0.71,0.731,0.765,0.769,0.773,0.777,0.779,0.784
77, Mexico,121,0.725,0.725,0.752,0.755,0.762,0.765,0.768,0.766,0.768,0.77
127, Micronesia (Federated States of),#N/A,0.507,0.528,0.527,0.534,0.535,0.539,0.539,0.534,0.528,0.528
107, Moldova (Republic of),122,0.633,0.489,0.478,0.546,0.567,0.576,0.579,0.592,0.598,0.592
92, Mongolia,124,0.581,0.567,0.579,0.617,0.644,0.665,0.68,0.698,0.703,0.702
48, Montenegro,125,0.745,0.639,0.701,0.714,0.743,0.75,0.747,0.753,0.754,0.761
123, Morocco,127,0.549,0.549,0.571,0.602,0.628,0.634,0.636,0.641,0.641,0.646
181, Mozambique,128,0.194,0.191,0.253,0.294,0.329,0.338,0.346,0.352,0.357,0.362
145, Myanmar,38,0.303,0.337,0.382,0.467,0.542,0.549,0.558,0.569,0.58,0.589
125, Namibia,129,0.613,0.621,0.622,0.646,0.663,0.669,0.671,0.681,0.687,0.692
0, Nauru,#N/A,0.831,0.715,0.642,0.604,0.645,0.663,0.683,0.713,0.74,0.724
144, Nepal,130,0.371,0.39,0.412,0.428,0.453,0.457,0.462,0.466,0.473,0.476
7, Netherlands,131,0.873,0.887,0.915,0.919,0.927,0.93,0.928,0.927,0.925,0.927
13, New Zealand,4,0.817,0.825,0.842,0.86,0.862,0.866,0.869,0.871,0.873,0.875
124, Nicaragua,132,0.512,0.497,0.53,0.546,0.554,0.561,0.567,0.572,0.578,0.583
187, Niger,133,0.317,0.302,0.301,0.308,0.317,0.314,0.323,0.324,0.33,0.33
152, Nigeria,134,0.5,0.488,0.479,0.542,0.586,0.589,0.592,0.596,0.604,0.604
1, Norway,136,0.913,0.939,0.961,0.977,0.975,0.974,0.976,0.976,0.983,0.984
52, Oman,137,0.887,0.9,0.919,0.908,0.921,0.905,0.9,0.895,0.886,0.882
147, Pakistan,139,0.523,0.532,0.535,0.562,0.574,0.576,0.578,0.582,0.586,0.592
60, Palau,#N/A,0.719,0.712,0.73,0.742,0.723,0.728,0.732,0.734,0.732,0.744
114," Palestine, State of",#N/A,0.508,0.521,0.582,0.586,0.573,0.581,0.597,0.588,0.585,0.598
60, Panama,140,0.661,0.686,0.706,0.727,0.746,0.765,0.777,0.784,0.79,0.796
154, Papua New Guinea,141,0.413,0.456,0.435,0.432,0.458,0.47,0.478,0.483,0.493,0.499
110, Paraguay,142,0.613,0.618,0.6,0.595,0.637,0.644,0.638,0.657,0.664,0.665
87, Peru,143,0.596,0.616,0.627,0.643,0.682,0.689,0.698,0.707,0.709,0.714
116, Philippines,144,0.556,0.561,0.59,0.619,0.652,0.639,0.647,0.657,0.663,0.669
36, Poland,145,0.69,0.708,0.751,0.773,0.806,0.813,0.816,0.818,0.823,0.829
41, Portugal,146,0.802,0.816,0.838,0.842,0.843,0.842,0.836,0.837,0.838,0.841
33, Qatar,148,1,1,1,1,1,1,1,1,1,1
50, Romania,150,0.712,0.699,0.699,0.745,0.777,0.779,0.78,0.785,0.792,0.796
49, Russian Federation,151,0.805,0.732,0.743,0.792,0.818,0.824,0.828,0.83,0.828,0.823
159, Rwanda,152,0.323,0.287,0.313,0.349,0.39,0.397,0.405,0.408,0.414,0.42
74, Saint Kitts and Nevis,153,0.748,0.767,0.783,0.799,0.798,0.799,0.797,0.804,0.813,0.818
92, Saint Lucia,154,0.671,0.676,0.691,0.689,0.702,0.701,0.693,0.691,0.691,0.692
99, Saint Vincent and the Grenadines,155,0.6,0.628,0.646,0.677,0.692,0.691,0.695,0.698,0.699,0.701
104, Samoa,156,0.538,0.539,0.563,0.595,0.597,0.604,0.604,0.6,0.6,0.602
0, San Marino,#N/A,0.932,0.961,0.986,1,0.98,0.963,0.937,0.941,0.938,0.939
142, Sao Tome and Principe,157,0.45,0.441,0.458,0.475,0.501,0.505,0.509,0.512,0.515,0.517
38, Saudi Arabia,158,0.924,0.921,0.912,0.921,0.922,0.933,0.937,0.938,0.941,0.943
162, Senegal,159,0.436,0.439,0.445,0.459,0.464,0.462,0.464,0.463,0.466,0.47
66, Serbia,160,0.751,0.645,0.657,0.696,0.724,0.727,0.724,0.728,0.726,0.726
63, Seychelles,161,0.737,0.747,0.777,0.772,0.792,0.808,0.816,0.822,0.824,0.827
179, Sierra Leone,162,0.399,0.361,0.355,0.375,0.398,0.403,0.421,0.446,0.45,0.412
5, Singapore,1,0.882,0.925,0.947,0.953,0.993,0.997,0.997,1,1,1
40, Slovakia,163,0.75,0.735,0.759,0.792,0.831,0.83,0.835,0.838,0.839,0.844
25, Slovenia,164,0.791,0.788,0.818,0.843,0.852,0.853,0.848,0.847,0.852,0.855
156, Solomon Islands,165,0.394,0.431,0.389,0.377,0.394,0.409,0.413,0.414,0.413,0.415
0, Somalia,166,0.219,0.166,0.158,0.161,0.161,0.162,0.162,0.162,0.163,0.163
